"","ideology","inequality","trust"
"353",1,10,7
"354",4,4,7
"355",NA,3,8
"356",2,7,8
"357",4,5,7
"358",1,8,8
"359",4,3,8
"360",4,7,9
"361",2,8,8
"362",4,10,6
"363",1,8,6
"364",1,10,9
"365",2,8,6
"366",2,10,7
"367",2,9,8
"368",3,7,7
"369",4,7,8
"370",2,8,8
"371",3,6,7
"372",1,10,9
"373",2,8,6
"374",1,7,9
"375",1,10,8
"376",2,9,7
"377",4,8,7
"378",3,6,7
"379",4,3,5
"380",4,7,7
"381",1,8,7
"382",4,5,7
"383",2,8,9
"384",1,10,10
"385",1,9,8
"386",3,8,6
"387",2,6,8
"388",2,8,8
"389",1,8,5
"390",2,9,9
"391",4,6,7
"392",1,7,3
"393",5,1,7
"394",2,10,7
"395",1,10,7
"396",1,10,5
"397",1,10,9
"398",1,10,7
"399",1,10,8
"400",2,9,7
"401",3,5,8
"402",2,10,7
"403",1,10,9
"404",3,3,8
"405",2,9,7
"406",2,6,4
"407",1,9,8
"408",4,7,7
"409",4,6,6
"410",3,8,7
"411",1,10,8
"412",4,4,5
"413",2,7,5
"414",4,8,9
"415",3,6,6
"416",1,10,10
"417",1,8,4
"418",4,7,8
"419",1,10,7
"420",1,10,7
"421",2,7,9
"422",4,8,8
"423",3,9,6
"424",4,6,8
"425",2,10,5
"426",5,5,7
"427",4,6,6
"428",1,10,7
"429",1,10,3
"430",1,10,5
"431",1,10,9
"432",5,1,7
"433",1,10,9
"434",1,10,7
"435",5,3,4
"436",1,8,2
"437",3,7,9
"438",1,10,8
"439",1,7,10
"440",1,10,8
"441",3,6,6
"442",1,10,9
"443",2,10,9
"444",2,9,8
"445",4,5,6
"446",1,9,9
"447",1,10,10
"448",1,10,8
"449",1,8,9
"450",2,8,8
"451",1,10,7
"452",1,10,8
"453",1,10,7
"454",5,1,8
"455",2,7,8
"456",2,9,7
"457",2,7,4
"458",4,6,6
"459",1,10,8
"460",4,6,5
"461",1,10,10
"462",3,7,8
"463",1,10,7
"464",3,7,3
"465",2,10,10
"466",2,8,8
"467",2,6,6
"468",3,10,9
"469",4,1,7
"470",2,10,7
"471",3,9,7
"472",3,8,8
"473",1,9,9
"474",1,10,8
"475",1,10,9
"476",2,9,7
"477",1,10,8
"478",4,7,7
"479",1,8,8
"480",2,9,9
"481",2,7,9
"482",1,7,7
"483",3,5,7
"484",1,9,7
"485",1,9,6
"486",4,8,8
"487",2,10,7
"488",1,10,8
"489",2,8,7
"490",4,1,3
"491",1,10,8
"492",1,10,7
"493",4,6,6
"494",1,8,9
"495",3,9,8
"496",1,10,9
"497",3,10,7
"498",5,3,9
"499",1,10,9
"500",5,4,9
"501",1,9,9
"502",1,10,7
"503",1,10,7
"504",2,10,7
"505",1,10,7
"506",2,9,6
"507",NA,NA,NA
"508",3,10,8
"509",1,8,9
"510",2,8,7
"511",2,10,7
"512",2,5,5
"513",1,10,8
"514",1,10,7
"515",1,10,7
"516",1,10,8
"517",1,8,6
"518",2,8,6
"519",1,10,7
"520",1,8,6
"521",1,10,8
"522",1,10,5
"523",4,5,6
"524",2,10,5
"525",1,10,9
"526",2,10,9
"527",2,9,4
"528",3,7,7
"529",1,10,6
"530",2,7,9
"531",2,10,1
"532",1,9,8
"533",1,9,7
"534",1,10,7
"535",1,10,6
"536",2,9,9
"537",5,2,8
"538",1,9,7
"539",5,2,9
"540",1,10,8
"541",2,9,7
"542",5,2,7
"543",2,7,7
"544",2,4,5
"545",5,2,6
"546",1,10,7
"547",4,3,7
"548",1,9,8
"549",1,7,5
"550",1,10,9
"551",2,9,7
"552",3,7,7
"553",1,10,8
"554",2,9,9
"555",1,10,9
"556",1,10,7
"557",3,7,8
"558",1,8,9
"559",3,5,6
"560",2,10,7
"561",1,8,7
"562",4,7,3
"563",4,3,8
"564",3,7,6
"565",2,8,5
"566",1,10,8
"567",1,10,8
"568",1,10,8
"569",1,10,9
"570",3,5,5
"571",1,10,7
"572",1,10,8
"573",1,10,8
"574",1,10,8
"575",5,5,8
"576",2,8,3
"577",2,3,10
"578",1,10,7
"579",4,7,7
"580",2,8,9
"581",3,10,8
"582",2,10,7
"583",2,9,6
"584",3,5,5
"585",2,6,8
"586",1,10,10
"587",4,6,8
"588",2,10,8
"589",2,7,9
"590",2,10,9
"591",2,7,7
"592",3,7,7
"593",2,8,7
"594",1,10,8
"595",1,10,9
"596",1,10,10
"597",3,7,1
"598",1,10,7
"599",4,4,8
"600",5,2,5
"601",5,3,8
"602",1,10,8
"603",1,10,9
"604",4,8,8
"605",4,6,8
"606",1,10,7
"607",3,NA,7
"608",4,6,7
"609",4,8,8
"610",2,9,8
"611",2,7,5
"612",4,1,6
"613",4,3,4
"614",1,9,7
"615",1,5,8
"616",2,8,7
"617",1,10,5
"618",5,6,7
"619",3,5,5
"620",2,8,8
"621",1,10,9
"622",2,10,6
"623",4,8,10
"624",3,5,3
"625",1,10,5
"626",2,8,8
"627",1,10,7
"628",2,10,7
"629",5,1,7
"630",3,7,8
